"","money"
"1","RT @SkyNews: ""Brexit deal will secure the rights of 3 million EU citizens living in the UK... and there will be no hard border in Northern"
"2","RT @queenbhyun: After the notice (from SM about suing the slandering) is out, about 3 million articles about EXO has been deleted  http"
"3","RT @spectatorindex: Annual salary (US Dollars)Singapore PM: $1.6 millionAustralia PM: $402,000US President: $400,000Canada PM: $272,00"
"4","Please let it be me tonight  #euromillions /mQaWlg6iz9"
"5","RT @Zinvor: Fucking blue tick scumbag living in San Francisco asks if it is morally acceptable to massacre 2.5 million North Koreans in the"
"6","RT @Forbes: World's highest paid musicians of 2017:1. Diddy - $130 million2. Beyonc - $105 million3. Drake - $94 million./"
"7","RT @heifer109: Trumpsters strong by the millions /dQBmmt5MQy"
"8","RT @CNN: Bankrupt Toys ""R"" Us wins approval to pay $16 million in executive bonuses if the company hits financial targets for holiday shopp"
"9","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"10","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"11","RT @adorablyeol: @queenbhyun 3 should be 30k right?? not 3 million"
"12","RT @Amaliada: Retweeted Versatile Vitality (@twizler557):Trump campaign legal bills topped $1 million last quarter  The... /"
"13","RT @adorablyeol: @queenbhyun 3 should be 30k right?? not 3 million"
"14","RT @G_Eazy: 13 million in 6 days this is crazzzy  @halsey /6biJQlMxmp"
"15","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"16","RT @ian_gow: 24 year old Belgium international Michy Batschuayi who cost 32 million has scored for Chelsea under 23s against Mk Dons in th"
"17","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"18","RT @SenSanders: A disaster. A joke. A lie. Here's how these millionaires describe the fraudulent trickle-down economic theory: "
"19","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"20","RT @Yvonne95072410: @leahnavarro They declared last year year the drugs addicts were 4 million. Inspire of there campaign house to house an"
"21","RT @bob981949: This deal is for the rich this is not the Brexit 17.4 million British people voted for and wanted. This government must resi"
"22","RT @KenyaConnect_: Betting is where 1 million poor people willingly decide to contribute 1 billion to a rich man so he can give back 28 mil"
"23","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"24","RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasnt paying attention? /XjvXqK"
"25","@SaorAlba59 @joannaccherry Never thought in a million years I'd like a tweet/quote from that particular Tory but very apt in lots of ways."
